Filename,Relative Times
xa.s15.00.mhz.1974-12-15HR00_evid00170.csv,"[12075.471698113208, 15094.33962264151, 33207.54716981132, 39245.28301886792, 42264.15094339623, 45283.018867924526, 48301.88679245283, 51320.75471698113, 72452.83018867925]"
xa.s15.00.mhz.1975-06-22HR00_evid00194.csv,[69433.96226415095]
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,[63396.22641509434]
xa.s15.00.mhz.1974-11-17HR00_evid00162.csv,"[0.0, 72452.83018867925]"
xa.s15.00.mhz.1974-10-19HR00_evid00157.csv,[69433.96226415095]
xa.s15.00.mhz.1974-12-15HR00_evid00169.csv,"[12075.471698113208, 15094.33962264151, 33207.54716981132, 39245.28301886792, 42264.15094339623, 45283.018867924526, 48301.88679245283, 51320.75471698113, 72452.83018867925]"
xa.s15.00.mhz.1974-11-21HR00_evid00166.csv,[]
xa.s15.00.mhz.1975-04-12HR00_evid00190.csv,"[6037.735849056604, 30188.67924528302, 45283.018867924526, 51320.75471698113, 54339.62264150944, 57358.49056603773, 66415.09433962264, 78490.56603773584, 81509.43396226416, 84528.30188679245]"
xa.s15.00.mhz.1973-04-04HR00_evid00098.csv,[]
xa.s15.00.mhz.1973-10-27HR00_evid00134.csv,"[0.0, 39245.28301886792]"
